ID;Id_Type;Id_Parent;hierarchy;topic_fr;topic_en;definition_fr;definition_en;Reference;available_EAU;available_Morocco
5249;65346788;5246;001.028.001.057.002.009.003;Aichryson pachycaulon Bolle subsp. pachycaulon;Aichryson pachycaulon Bolle subsp. pachycaulon;Aichryson pachycaulon Bolle subsp. pachycaulon;Aichryson pachycaulon Bolle subsp. pachycaulon;NULL;0;1
5250;65346788;5246;001.028.001.057.002.009.004;Aichryson pachycaulon Bolle subsp. parviflorum (Bolle) Bramwell;Aichryson pachycaulon Bolle subsp. parviflorum (Bolle) Bramwell;Aichryson pachycaulon Bolle subsp. parviflorum (Bolle) Bramwell;Aichryson pachycaulon Bolle subsp. parviflorum (Bolle) Bramwell;NULL;0;1
5251;65346788;5246;001.028.001.057.002.009.005;Aichryson pachycaulon Bolle subsp. praetermissum Bramwell;Aichryson pachycaulon Bolle subsp. praetermissum Bramwell;Aichryson pachycaulon Bolle subsp. praetermissum Bramwell;Aichryson pachycaulon Bolle subsp. praetermissum Bramwell;NULL;0;1
5252;65346788;5237;001.028.001.057.002.010;Aichryson palmense Bolle;Aichryson palmense Bolle;Aichryson palmense Bolle;Aichryson palmense Bolle;NULL;0;1
5253;65346788;5237;001.028.001.057.002.011;Aichryson parlatorei Bolle;Aichryson parlatorei Bolle;Aichryson parlatorei Bolle;Aichryson parlatorei Bolle;NULL;0;1
5254;65346788;5237;001.028.001.057.002.012;Aichryson porphyrogennetos Bolle;Aichryson porphyrogennetos Bolle;Aichryson porphyrogennetos Bolle;Aichryson porphyrogennetos Bolle;NULL;0;1
5255;65346788;5237;001.028.001.057.002.013;Aichryson punctatum (Buch) Webb & Berthel.;Aichryson punctatum (Buch) Webb & Berthel.;Aichryson punctatum (Buch) Webb & Berthel.;Aichryson punctatum (Buch) Webb & Berthel.;NULL;0;1
5256;65346788;5237;001.028.001.057.002.014;Aichryson pygmaeum Webb & Berthel.;Aichryson pygmaeum Webb & Berthel.;Aichryson pygmaeum Webb & Berthel.;Aichryson pygmaeum Webb & Berthel.;NULL;0;1
5257;65346788;5237;001.028.001.057.002.015;Aichryson tortuosum (Aiton) Webb & Berthel.;Aichryson tortuosum (Aiton) Webb & Berthel.;Aichryson tortuosum (Aiton) Webb & Berthel.;Aichryson tortuosum (Aiton) Webb & Berthel.;NULL;0;1
5258;65346788;5237;001.028.001.057.002.016;Aichryson villosum (Aiton) Webb & Berthel.;Aichryson villosum (Aiton) Webb & Berthel.;Aichryson villosum (Aiton) Webb & Berthel.;Aichryson villosum (Aiton) Webb & Berthel.;NULL;0;1
5259;65346788;5185;001.028.001.057.003;Crassula L.;Crassula L.;Crassula L.;Crassula L.;NULL;0;1
5260;65346788;5259;001.028.001.057.003.001;Crassula alata (Viv.) A.Berger;Crassula alata (Viv.) A.Berger;Crassula alata (Viv.) A.Berger;Crassula alata (Viv.) A.Berger;NULL;0;1
5261;65346788;5259;001.028.001.057.003.002;Crassula campestris (Eckl. & Zeyh.) Endl. ex Walp.;Crassula campestris (Eckl. & Zeyh.) Endl. ex Walp.;Crassula campestris (Eckl. & Zeyh.) Endl. ex Walp.;Crassula campestris (Eckl. & Zeyh.) Endl. ex Walp.;NULL;0;1
5262;65346788;5259;001.028.001.057.003.003;Crassula muscosa L.;Crassula muscosa L.;Crassula muscosa L.;Crassula muscosa L.;NULL;0;1
5263;65346788;5259;001.028.001.057.003.004;Crassula tetragona L.;Crassula tetragona L.;Crassula tetragona L.;Crassula tetragona L.;NULL;0;1
5264;65346788;5259;001.028.001.057.003.005;Crassula tillaea Lest.-Garl.;Crassula tillaea Lest.-Garl.;Crassula tillaea Lest.-Garl.;Crassula tillaea Lest.-Garl.;NULL;0;1
5265;65346788;5259;001.028.001.057.003.006;Crassula vaillantii (Willd.) Roth;Crassula vaillantii (Willd.) Roth;Crassula vaillantii (Willd.) Roth;Crassula vaillantii (Willd.) Roth;NULL;0;1
5266;65346788;5185;001.028.001.057.004;Kalanchoe Adans.;Kalanchoe Adans.;Kalanchoe Adans.;Kalanchoe Adans.;NULL;0;1
5267;65346788;5266;001.028.001.057.004.001;Kalanchoe daigremontiana Raym.-Hamet & H.Perrier;Kalanchoe daigremontiana Raym.-Hamet & H.Perrier;Kalanchoe daigremontiana Raym.-Hamet & H.Perrier;Kalanchoe daigremontiana Raym.-Hamet & H.Perrier;NULL;0;1
5268;65346788;5266;001.028.001.057.004.002;Kalanchoe delagoensis Eckl. & Zeyh.;Kalanchoe delagoensis Eckl. & Zeyh.;Kalanchoe delagoensis Eckl. & Zeyh.;Kalanchoe delagoensis Eckl. & Zeyh.;NULL;0;1
5269;65346788;5266;001.028.001.057.004.003;Kalanchoe faustii Font Quer;Kalanchoe faustii Font Quer;Kalanchoe faustii Font Quer;Kalanchoe faustii Font Quer;NULL;0;1
5270;65346788;5266;001.028.001.057.004.004;Kalanchoe fedtschenkoi Raym.-Hamet & H.Perrier;Kalanchoe fedtschenkoi Raym.-Hamet & H.Perrier;Kalanchoe fedtschenkoi Raym.-Hamet & H.Perrier;Kalanchoe fedtschenkoi Raym.-Hamet & H.Perrier;NULL;0;1
5271;65346788;5266;001.028.001.057.004.005;Kalanchoe laciniata (L.) DC.;Kalanchoe laciniata (L.) DC.;Kalanchoe laciniata (L.) DC.;Kalanchoe laciniata (L.) DC.;NULL;0;1
5272;65346788;5266;001.028.001.057.004.006;Kalanchoe laxiflora Baker;Kalanchoe laxiflora Baker;Kalanchoe laxiflora Baker;Kalanchoe laxiflora Baker;NULL;0;1
5273;65346788;5266;001.028.001.057.004.007;Kalanchoe pinnata (Lam.) Pers.;Kalanchoe pinnata (Lam.) Pers.;Kalanchoe pinnata (Lam.) Pers.;Kalanchoe pinnata (Lam.) Pers.;NULL;0;1
5274;65346788;5266;001.028.001.057.004.008;Kalanchoe prolifera (Bowie ex Hook.) Raym.-Hamet;Kalanchoe prolifera (Bowie ex Hook.) Raym.-Hamet;Kalanchoe prolifera (Bowie ex Hook.) Raym.-Hamet;Kalanchoe prolifera (Bowie ex Hook.) Raym.-Hamet;NULL;0;1
5275;65346788;5266;001.028.001.057.004.009;Kalanchoe scandens (H.Perrier) Berger;Kalanchoe scandens (H.Perrier) Berger;Kalanchoe scandens (H.Perrier) Berger;Kalanchoe scandens (H.Perrier) Berger;NULL;0;1
5276;65346788;5266;001.028.001.057.004.010;Kalanchoe tubiflora (Harv.) Raym.-Hamet;Kalanchoe tubiflora (Harv.) Raym.-Hamet;Kalanchoe tubiflora (Harv.) Raym.-Hamet;Kalanchoe tubiflora (Harv.) Raym.-Hamet;NULL;0;1
5277;65346788;5185;001.028.001.057.005;Monanthes Haw.;Monanthes Haw.;Monanthes Haw.;Monanthes Haw.;NULL;0;1
5278;65346788;5277;001.028.001.057.005.001;Monanthes adenoscepes Svent.;Monanthes adenoscepes Svent.;Monanthes adenoscepes Svent.;Monanthes adenoscepes Svent.;NULL;0;1
