Individual_Obj_PK;id1@Thes_Status_Precision;id5@TCarac_Transmitter_Frequency;id9@TCarac_Release_Ring_Code;id12@TCarac_Breeding_Ring_Code;id13@TCarac_Chip_Code
19481;dead;219422;;U09M13776;0006DF0A9D
19485;dead;218862;;U09M13781;0006E7672A
19488;dead;217602;;U09M13785;0006E78341
19498;dead;218122;;U09M13799;0006E76707
19501;monitored;218279;;U09M13813;0006F2017D
19509;dead;219839;;U09M13833;0006E75B1D
19511;dead;217738;;U09M13836;0006E764EA
19512;dead;214040;;U09M13838;0006DF2C2E
19513;dead;219655;;U09M13840;0006E78640
19518;dead;217961;;U09M13846;0006E76899
19522;dead;219185;;U09M13854;0006E75B25
19523;dead;216960;;U09M13855;0006E77239
19524;dead;216794;;U09M13859;0006E76BC7
19525;lost;217040;;U09M13861;0006DF38C0
19526;dead;218833;;U09M13862;0006E78570
19531;lost;219924;;U09M13869;0006F1F202
19540;dead;217018;;U09M13891;0006F3C736
19564;lost;217787;;U09M14359;0006E764EC
19565;lost;214071;;U09M14360;0006E75969
19567;lost;218108;;U09M14366;0006E77A46
19583;dead;218824;;U09M14392;0006DF2490
19588;dead;214934;;U09M14405;0006DE65CF
19589;dead;218402;;U09M14407;0006E77237
19599;dead;219600;;U09M14423;0006F1F9E8
19600;dead;214342;;U09M14424;0006DE81F1
19604;dead;219739;;U09M14436;0006E76AB0
19968;dead;218761;;U09M11246;0006DF1C2F
19978;dead;219789;;U09M11235;0006E76798
19985;dead;214462;;U09M11224;0006F2012B
19993;dead;217400;;U09M11215;0006E7613B
19994;lost;215521;;U09M11213;0006E76819
19999;lost;217991;;U09M11207;0006F3D19F
20000;dead;215142;;U09M11206;0006EE2EA6
20002;dead;216741;;U09M11203;0006F1E523
20009;dead;218502;;U09M11192;0006DE6872
20013;dead;215461;;U09M11187;0006F3C801
20016;dead;217508;;U09M11184;0006E7794D
20022;dead;217999;;U09M11178;0006DF3F85
20023;dead;215573;;U09M11177;0006DF1483
20049;lost;216470;;U09M10485;0006DF1188
20050;dead;215855;;U09M10484;0006E76373
20054;dead;218781;;U09M10478;0006DE7B31
20120;lost;217631;;U09M10367;0006F204BC
20123;dead;219619;;U09M10362;0006F1F1FA
20124;dead;217535;;U09M10360;0006DE5E56
20135;dead;219001;;U09M10348;0006F3D3DA
20137;lost;217360;;U09M10346;0006E768A3
20141;dead;217694;;U09M10338;0006F3DDE3
20143;dead;216374;;U09M10336;0006F3D514
20144;lost;216652;;U09M10335;0006DF0DE8
20147;lost;217653;;U09M10329;0006F34ADD
20154;dead;219769;;U09M10312;0006DF092C
20155;dead;218631;;U09M10307;0006DF32B9
20157;dead;217219;;U09M10304;0006EE3B58
20163;dead;218750;;U09M10294;0006DE5B59
20169;dead;219560;;U09M10283;0006E76D62
20215;dead;216549;;U09M13058;0006F2B63D
20218;lost;216531;;U09M13076;0006E79D13
20220;dead;214253;;U09M13087;0006E763D1
20224;dead;215292;;U09M13099;0006E7E85F
20237;dead;216191;;U09M13163;0006F2C70B
20241;dead;217117;;U09M13182;0006E79A85
20245;dead;216540;;U09M13214;0006E7D339
20247;lost;216841;;U09M13240;0006F2A8E8
20249;dead;215894;;U09M13261;0006E7ABDC
20251;dead;217748;;U09M13428;0006F3F158
20254;dead;216761;;U09M13441;0006DF3AC1B
20258;dead;216582;;U09M13458;0006F3E99D
20269;dead;214380;;U09M13515;0006E7B8C7
20275;dead;214431;;U09M13542;0006E7CFE2
20282;dead;216229;;U09M13880;0006E7B931
20283;dead;216439;;U09M13884;0006F3E809
20287;dead;215502;;U09M13892;0006E7B6AF
20288;lost;216081;;U09M13894;0006F3D6EA
20292;dead;214751;;U09M13898;0006F29F13
20293;dead;216921;;U09M13899;0006E7EA89
20295;dead;216512;;U09M13904;0006E81F13
20299;dead;217140;;U09M13913;0006EE1C4A
20304;dead;216849;;U09M13931;0006E7BE32
20306;dead;215910;;U09M13936;0006DF2235
20313;dead;215362;;U09M13945;0006E7FA3B
20324;dead;216172;;U09M13978;0006F2A96E
20328;dead;215581;;U09M13983;0006E7598F
20334;dead;215061;;U09M13995;0006E7A156
20337;lost;214661;;U09M14001;0006E7986E
20349;dead;216672;;U09M14034;0006DF3F32
22477;dead;219993;;U09M07173;0006F2C692
22478;monitored;219942;;U09M07197;0006E7EC38
22479;lost;219780;;U09M08414;0006F3E828
22480;dead;219661;;U09M07254;0006DEA3AE
22481;dead;219600;;U09M07385;0006F3DCA5
22482;dead;219589;;U09M07113;0006F1EF91
22483;lost;219502;;U09M07237;0006E77D6A
22484;dead;219422;;U09M07335;0006EE25B2
22485;lost;219394;;U09M07175;0006E82AF3
22486;lost;219270;;U09M07130;0006E7F539
22487;dead;219235;;U09M07176;0006E827A9
22488;dead;219190;;U09M07311;0006EE1C19
22489;dead;219151;;U09M07105;0006E7DF65
22490;dead;219022;;U09M07242;0006F3C342
22491;lost;219012;;U09M07188;0006E82A66
22492;dead;218862;;U09M07123;0006F3F24E
22493;dead;218851;;U09M07109;0006DEBC76
22494;lost;218833;;U09M07327;0006DF3C9C
22495;dead;218813;;U09M07266;0006F21848
22496;dead;218781;;U09M07366;0006EE26C6
22497;lost;218699;;U09M07212;0006DF0D87
22498;lost;218493;;U09M07234;0006DF105B
22499;monitored;218402;;U09M07375;0006DF2D5C
22500;monitored;218392;;U09M07300;0006DF1599
22501;monitored;218371;;U09M07281;0006DF3D68
22502;monitored;218342;;U09M07274;0006F3F1E8
22503;dead;218291;;U09M07210;0006F3493C
22504;dead;218131;;U09M07084;0006F3D095
22505;lost;218122;;U09M07235;0006F3CCAA
22506;monitored;218101;;U09M07364;0006EE36A2
22507;dead;218071;;U09M07359;0006EE4667
22508;dead;218031;;U09M07259;0006DE66D9
22509;dead;217871;;U09M07220;0006E78060
